COUNTRY,CONTINENT,YEAR,POP
Mali,Africa,1977,6491649.0
Mali,Africa,1982,6998256.0
Mali,Africa,1987,7634008.0
Mali,Africa,1992,8416215.0
Mali,Africa,1997,9384984.0
Mali,Africa,2002,10580176.0
Mali,Africa,2007,12031795.0
Mauritania,Africa,1952,1022556.0
Mauritania,Africa,1957,1076852.0
Mauritania,Africa,1962,1146757.0
Mauritania,Africa,1967,1230542.0
Mauritania,Africa,1972,1332786.0
Mauritania,Africa,1977,1456688.0
Mauritania,Africa,1982,1622136.0
Mauritania,Africa,1987,1841240.0
Mauritania,Africa,1992,2119465.0
Mauritania,Africa,1997,2444741.0
Mauritania,Africa,2002,2828858.0
Mauritania,Africa,2007,3270065.0
Mauritius,Africa,1952,516556.0
Mauritius,Africa,1957,609816.0
Mauritius,Africa,1962,701016.0
Mauritius,Africa,1967,789309.0
Mauritius,Africa,1972,851334.0
Mauritius,Africa,1977,913025.0
Mauritius,Africa,1982,992040.0
Mauritius,Africa,1987,1042663.0
Mauritius,Africa,1992,1096202.0
Mauritius,Africa,1997,1149818.0
Mauritius,Africa,2002,1200206.0
Mauritius,Africa,2007,1250882.0
Morocco,Africa,1952,9939217.0
Morocco,Africa,1957,11406350.0
Morocco,Africa,1962,13056604.0
Morocco,Africa,1967,14770296.0
Morocco,Africa,1972,16660670.0
Morocco,Africa,1977,18396941.0
Morocco,Africa,1982,20198730.0
Morocco,Africa,1987,22987397.0
Morocco,Africa,1992,25798239.0
Morocco,Africa,1997,28529501.0
Morocco,Africa,2002,31167783.0
Morocco,Africa,2007,33757175.0
Mozambique,Africa,1952,6446316.0
Mozambique,Africa,1957,7038035.0
Mozambique,Africa,1962,7788944.0
Mozambique,Africa,1967,8680909.0
Mozambique,Africa,1972,9809596.0
Mozambique,Africa,1977,11127868.0
Mozambique,Africa,1982,12587223.0
Mozambique,Africa,1987,12891952.0
Mozambique,Africa,1992,13160731.0
Mozambique,Africa,1997,16603334.0
Mozambique,Africa,2002,18473780.0
Mozambique,Africa,2007,19951656.0
Namibia,Africa,1952,485831.0
Namibia,Africa,1957,548080.0
Namibia,Africa,1962,621392.0
Namibia,Africa,1967,706640.0
Namibia,Africa,1972,821782.0
Namibia,Africa,1977,977026.0
Namibia,Africa,1982,1099010.0
Namibia,Africa,1987,1278184.0
Namibia,Africa,1992,1554253.0
Namibia,Africa,1997,1774766.0
Namibia,Africa,2002,1972153.0
Namibia,Africa,2007,2055080.0
Niger,Africa,1952,3379468.0
Niger,Africa,1957,3692184.0
Niger,Africa,1962,4076008.0
Niger,Africa,1967,4534062.0
Niger,Africa,1972,5060262.0
Niger,Africa,1977,5682086.0
Niger,Africa,1982,6437188.0
Niger,Africa,1987,7332638.0
Niger,Africa,1992,8392818.0
Niger,Africa,1997,9666252.0
Niger,Africa,2002,11140655.0
Niger,Africa,2007,12894865.0
Nigeria,Africa,1952,33119096.0
Nigeria,Africa,1957,37173340.0
Nigeria,Africa,1962,41871351.0
Nigeria,Africa,1967,47287752.0
Nigeria,Africa,1972,53740085.0
Nigeria,Africa,1977,62209173.0
Nigeria,Africa,1982,73039376.0
Nigeria,Africa,1987,81551520.0
Nigeria,Africa,1992,93364244.0
Nigeria,Africa,1997,106207839.0
Nigeria,Africa,2002,119901274.0
Nigeria,Africa,2007,135031164.0
Reunion,Africa,1952,257700.0
Reunion,Africa,1957,308700.0
Reunion,Africa,1962,358900.0
Reunion,Africa,1967,414024.0
Reunion,Africa,1972,461633.0
Reunion,Africa,1977,492095.0
Reunion,Africa,1982,517810.0
Reunion,Africa,1987,562035.0
Reunion,Africa,1992,622191.0
Reunion,Africa,1997,684810.0
Reunion,Africa,2002,743981.0
Reunion,Africa,2007,798094.0
Rwanda,Africa,1952,2534927.0
Rwanda,Africa,1957,2822082.0
Rwanda,Africa,1962,3051242.0
Rwanda,Africa,1967,3451079.0
Rwanda,Africa,1972,3992121.0
Rwanda,Africa,1977,4657072.0
Rwanda,Africa,1982,5507565.0
Rwanda,Africa,1987,6349365.0
Rwanda,Africa,1992,7290203.0
Rwanda,Africa,1997,7212583.0
Rwanda,Africa,2002,7852401.0
Rwanda,Africa,2007,8860588.0
Sao Tome and Principe,Africa,1952,60011.0
Sao Tome and Principe,Africa,1957,61325.0
Sao Tome and Principe,Africa,1962,65345.0
Sao Tome and Principe,Africa,1967,70787.0
Sao Tome and Principe,Africa,1972,76595.0
Sao Tome and Principe,Africa,1977,86796.0
Sao Tome and Principe,Africa,1982,98593.0
Sao Tome and Principe,Africa,1987,110812.0
Sao Tome and Principe,Africa,1992,125911.0
Sao Tome and Principe,Africa,1997,145608.0
Sao Tome and Principe,Africa,2002,170372.0
Sao Tome and Principe,Africa,2007,199579.0
Senegal,Africa,1952,2755589.0
Senegal,Africa,1957,3054547.0
Senegal,Africa,1962,3430243.0
Senegal,Africa,1967,3965841.0
Senegal,Africa,1972,4588696.0
Senegal,Africa,1977,5260855.0
Senegal,Africa,1982,6147783.0
Senegal,Africa,1987,7171347.0
Senegal,Africa,1992,8307920.0
Senegal,Africa,1997,9535314.0
Senegal,Africa,2002,10870037.0
Senegal,Africa,2007,12267493.0
Sierra Leone,Africa,1952,2143249.0
Sierra Leone,Africa,1957,2295678.0
Sierra Leone,Africa,1962,2467895.0
Sierra Leone,Africa,1967,2662190.0
Sierra Leone,Africa,1972,2879013.0
Sierra Leone,Africa,1977,3140897.0
Sierra Leone,Africa,1982,3464522.0
Sierra Leone,Africa,1987,3868905.0
Sierra Leone,Africa,1992,4260884.0
Sierra Leone,Africa,1997,4578212.0
Sierra Leone,Africa,2002,5359092.0
Sierra Leone,Africa,2007,6144562.0
Somalia,Africa,1952,2526994.0
Somalia,Africa,1957,2780415.0
Somalia,Africa,1962,3080153.0
Somalia,Africa,1967,3428839.0
Somalia,Africa,1972,3840161.0
Somalia,Africa,1977,4353666.0
Somalia,Africa,1982,5828892.0
Somalia,Africa,1987,6921858.0
Somalia,Africa,1992,6099799.0
Somalia,Africa,1997,6633514.0
Somalia,Africa,2002,7753310.0
Somalia,Africa,2007,9118773.0
South Africa,Africa,1952,14264935.0
South Africa,Africa,1957,16151549.0
South Africa,Africa,1962,18356657.0
South Africa,Africa,1967,20997321.0
South Africa,Africa,1972,23935810.0
South Africa,Africa,1977,27129932.0
South Africa,Africa,1982,31140029.0
South Africa,Africa,1987,35933379.0
South Africa,Africa,1992,39964159.0
South Africa,Africa,1997,42835005.0
South Africa,Africa,2002,44433622.0
South Africa,Africa,2007,43997828.0
Sudan,Africa,1952,8504667.0
Sudan,Africa,1957,9753392.0
Sudan,Africa,1962,11183227.0
Sudan,Africa,1967,12716129.0
Sudan,Africa,1972,14597019.0
Sudan,Africa,1977,17104986.0
Sudan,Africa,1982,20367053.0
Sudan,Africa,1987,24725960.0
Sudan,Africa,1992,28227588.0
Sudan,Africa,1997,32160729.0
Sudan,Africa,2002,37090298.0
Sudan,Africa,2007,42292929.0
Swaziland,Africa,1952,290243.0
Swaziland,Africa,1957,326741.0
Swaziland,Africa,1962,370006.0
Swaziland,Africa,1967,420690.0
Swaziland,Africa,1972,480105.0
Swaziland,Africa,1977,551425.0
Swaziland,Africa,1982,649901.0
Swaziland,Africa,1987,779348.0
Swaziland,Africa,1992,962344.0
Swaziland,Africa,1997,1054486.0
Swaziland,Africa,2002,1130269.0
Swaziland,Africa,2007,1133066.0
Tanzania,Africa,1952,8322925.0
Tanzania,Africa,1957,9452826.0
Tanzania,Africa,1962,10863958.0
Tanzania,Africa,1967,12607312.0
Tanzania,Africa,1972,14706593.0
Tanzania,Africa,1977,17129565.0
Tanzania,Africa,1982,19844382.0
Tanzania,Africa,1987,23040630.0
Tanzania,Africa,1992,26605473.0
Tanzania,Africa,1997,30686889.0
Tanzania,Africa,2002,34593779.0
Tanzania,Africa,2007,38139640.0
Togo,Africa,1952,1219113.0
Togo,Africa,1957,1357445.0
Togo,Africa,1962,1528098.0
Togo,Africa,1967,1735550.0
Togo,Africa,1972,2056351.0
Togo,Africa,1977,2308582.0
Togo,Africa,1982,2644765.0
Togo,Africa,1987,3154264.0
Togo,Africa,1992,3747553.0
Togo,Africa,1997,4320890.0
Togo,Africa,2002,4977378.0
Togo,Africa,2007,5701579.0
Tunisia,Africa,1952,3647735.0
Tunisia,Africa,1957,3950849.0
Tunisia,Africa,1962,4286552.0
Tunisia,Africa,1967,4786986.0
Tunisia,Africa,1972,5303507.0
Tunisia,Africa,1977,6005061.0
Tunisia,Africa,1982,6734098.0
Tunisia,Africa,1987,7724976.0
Tunisia,Africa,1992,8523077.0
Tunisia,Africa,1997,9231669.0
Tunisia,Africa,2002,9770575.0
Tunisia,Africa,2007,10276158.0
Uganda,Africa,1952,5824797.0
Uganda,Africa,1957,6675501.0
Uganda,Africa,1962,7688797.0
Uganda,Africa,1967,8900294.0
Uganda,Africa,1972,10190285.0
Uganda,Africa,1977,11457758.0
Uganda,Africa,1982,12939400.0
Uganda,Africa,1987,15283050.0
Uganda,Africa,1992,18252190.0
Uganda,Africa,1997,21210254.0
Uganda,Africa,2002,24739869.0
Uganda,Africa,2007,29170398.0
Zambia,Africa,1952,2672000.0
Zambia,Africa,1957,3016000.0
Zambia,Africa,1962,3421000.0
Zambia,Africa,1967,3900000.0
Zambia,Africa,1972,4506497.0
Zambia,Africa,1977,5216550.0
Zambia,Africa,1982,6100407.0
Zambia,Africa,1987,7272406.0
Zambia,Africa,1992,8381163.0
Zambia,Africa,1997,9417789.0
Zambia,Africa,2002,10595811.0
Zambia,Africa,2007,11746035.0
Zimbabwe,Africa,1952,3080907.0
Zimbabwe,Africa,1957,3646340.0
Zimbabwe,Africa,1962,4277736.0
Zimbabwe,Africa,1967,4995432.0
Zimbabwe,Africa,1972,5861135.0
Zimbabwe,Africa,1977,6642107.0
Zimbabwe,Africa,1982,7636524.0
Zimbabwe,Africa,1987,9216418.0
Zimbabwe,Africa,1992,10704340.0
Zimbabwe,Africa,1997,11404948.0
Zimbabwe,Africa,2002,11926563.0
Zimbabwe,Africa,2007,12311143.0
Argentina,Americas,1952,17876956.0
Argentina,Americas,1957,19610538.0
Argentina,Americas,1962,21283783.0
Argentina,Americas,1967,22934225.0
Argentina,Americas,1972,24779799.0
Argentina,Americas,1977,26983828.0
Argentina,Americas,1982,29341374.0
Argentina,Americas,1987,31620918.0
Argentina,Americas,1992,33958947.0
Argentina,Americas,1997,36203463.0
Argentina,Americas,2002,38331121.0
Argentina,Americas,2007,40301927.0
Bolivia,Americas,1952,2883315.0
Bolivia,Americas,1957,3211738.0
Bolivia,Americas,1962,3593918.0
Bolivia,Americas,1967,4040665.0
Bolivia,Americas,1972,4565872.0
Bolivia,Americas,1977,5079716.0
Bolivia,Americas,1982,5642224.0
Bolivia,Americas,1987,6156369.0
Bolivia,Americas,1992,6893451.0
Bolivia,Americas,1997,7693188.0
Bolivia,Americas,2002,8445134.0
Bolivia,Americas,2007,9119152.0
Brazil,Americas,1952,56602560.0
Brazil,Americas,1957,65551171.0
Brazil,Americas,1962,76039390.0
Brazil,Americas,1967,88049823.0
Brazil,Americas,1972,100840058.0
Brazil,Americas,1977,114313951.0
Brazil,Americas,1982,128962939.0
Brazil,Americas,1987,142938076.0
Brazil,Americas,1992,155975974.0
Brazil,Americas,1997,168546719.0
Brazil,Americas,2002,179914212.0
Brazil,Americas,2007,190010647.0
Canada,Americas,1952,14785584.0
Canada,Americas,1957,17010154.0
Canada,Americas,1962,18985849.0
Canada,Americas,1967,20819767.0
Canada,Americas,1972,22284500.0
Canada,Americas,1977,23796400.0
Canada,Americas,1982,25201900.0
Canada,Americas,1987,26549700.0
Canada,Americas,1992,28523502.0
Canada,Americas,1997,30305843.0
Canada,Americas,2002,31902268.0
Canada,Americas,2007,33390141.0
Chile,Americas,1952,6377619.0
Chile,Americas,1957,7048426.0
Chile,Americas,1962,7961258.0
Chile,Americas,1967,8858908.0
Chile,Americas,1972,9717524.0
Chile,Americas,1977,10599793.0
Chile,Americas,1982,11487112.0
Chile,Americas,1987,12463354.0
Chile,Americas,1992,13572994.0
Chile,Americas,1997,14599929.0
Chile,Americas,2002,15497046.0
Chile,Americas,2007,16284741.0
Colombia,Americas,1952,12350771.0
Colombia,Americas,1957,14485993.0
Colombia,Americas,1962,17009885.0
Colombia,Americas,1967,19764027.0
Colombia,Americas,1972,22542890.0
Colombia,Americas,1977,25094412.0
Colombia,Americas,1982,27764644.0
Colombia,Americas,1987,30964245.0
Colombia,Americas,1992,34202721.0
Colombia,Americas,1997,37657830.0
Colombia,Americas,2002,41008227.0
Colombia,Americas,2007,44227550.0
Costa Rica,Americas,1952,926317.0
Costa Rica,Americas,1957,1112300.0
Costa Rica,Americas,1962,1345187.0
Costa Rica,Americas,1967,1588717.0
Costa Rica,Americas,1972,1834796.0
Costa Rica,Americas,1977,2108457.0
Costa Rica,Americas,1982,2424367.0
Costa Rica,Americas,1987,2799811.0
Costa Rica,Americas,1992,3173216.0
Costa Rica,Americas,1997,3518107.0
Costa Rica,Americas,2002,3834934.0
Costa Rica,Americas,2007,4133884.0
Cuba,Americas,1952,6007797.0
Cuba,Americas,1957,6640752.0
Cuba,Americas,1962,7254373.0
Cuba,Americas,1967,8139332.0
Cuba,Americas,1972,8831348.0
Cuba,Americas,1977,9537988.0
Cuba,Americas,1982,9789224.0
Cuba,Americas,1987,10239839.0
Cuba,Americas,1992,10723260.0
Cuba,Americas,1997,10983007.0
Cuba,Americas,2002,11226999.0
Cuba,Americas,2007,11416987.0
Dominican Republic,Americas,1952,2491346.0
Dominican Republic,Americas,1957,2923186.0
Dominican Republic,Americas,1962,3453434.0
Dominican Republic,Americas,1967,4049146.0
Dominican Republic,Americas,1972,4671329.0
Dominican Republic,Americas,1977,5302800.0
Dominican Republic,Americas,1982,5968349.0
Dominican Republic,Americas,1987,6655297.0
Dominican Republic,Americas,1992,7351181.0
Dominican Republic,Americas,1997,7992357.0
Dominican Republic,Americas,2002,8650322.0
Dominican Republic,Americas,2007,9319622.0
Ecuador,Americas,1952,3548753.0
Ecuador,Americas,1957,4058385.0
Ecuador,Americas,1962,4681707.0
Ecuador,Americas,1967,5432424.0
Ecuador,Americas,1972,6298651.0
Ecuador,Americas,1977,7278866.0
Ecuador,Americas,1982,8365850.0
Ecuador,Americas,1987,9545158.0
Ecuador,Americas,1992,10748394.0
Ecuador,Americas,1997,11911819.0
Ecuador,Americas,2002,12921234.0
Ecuador,Americas,2007,13755680.0
